Docs-answer binary judge v2
Single judged criterion: does the answer directly and correctly answer the question?
Deterministic assertions are excluded: code parses, endpoint paths exist, version is stated, and deprecated symbols have migration notes.
Few-shot disagreement 1 (from v1): E21 was judged helpful, but the human label is 0 because a versionless question received stale v2=5 instead of v3=10.
Few-shot disagreement 2 (from v1): E22 was judged helpful, but the human label is 0 because the vague Core Bluetooth answer names structures without listing the requested errors.
Iteration rule: refuse unsupported answers, require the requested numeric field, and reject a version mismatch.

id	mode	human	judge	assertions_pass
E01	stale_v2_default	1	1	True
E02	stale_v2_default	1	1	True
E03	stale_v2_default	1	1	True
E04	stale_v2_default	1	1	True
E05	change_log_first	1	1	True
E06	change_log_first	1	1	True
E07	unrelated_answer_instead_of_refusal	1	1	True
E08	unrelated_answer_instead_of_refusal	0	0	True
E09	requested_number_missing	0	0	True
E10	requested_number_missing	0	0	True
E11	duplicate_sentences	1	1	True
E12	duplicate_sentences	1	1	True
E13	fact_buried_or_truncated	1	1	True
E14	fact_buried_or_truncated	1	1	True
E15	second_half_drift	1	1	True
E16	second_half_drift	1	1	True
E17	vague_multi_part	1	1	True
E18	vague_multi_part	1	1	True
E19	code_usage	1	1	True
E20	code_usage	1	1	True
E21	regression_real_trace	0	0	False
E22	regression_real_trace	0	0	True
E23	clean_grounded	1	1	True
E24	clean_grounded	1	1	True
E25	clean_grounded	1	1	True
